no.frames,yaw,pitch,roll
1,3.4128246050447806,7.319656594166661,-5.7590383957182745
2,3.4673745895225867,7.397351003954598,-5.693212389782772
3,3.6214545620857086,7.422636311004593,-5.547978486380719
4,3.8068690386127435,7.493419156212669,-5.343224550465413
5,3.931012078198053,7.59095883438875,-5.032687720109202
6,3.980257210444255,7.579325220196009,-4.647700483778509
7,3.9653955835942676,7.371581394360233,-4.170075172610174
8,3.92921019383183,7.140426923218308,-3.7482760732852967
9,3.8510382266695626,6.9643510619733195,-3.4857095274933116
10,3.7139801342485086,6.8007770184460945,-3.3813293830409425
11,3.5598135515207874,6.667357347528484,-3.395175136525527
12,3.4841431363962148,6.580581656894953,-3.491236689527676
13,3.529312761735892,6.4945116596102626,-3.614271783989034
14,3.5977705188441993,6.392141760315833,-3.7226331049488097
15,3.630631800983406,6.343328186231538,-3.8657026028241446
16,3.612889955111169,6.351826718131915,-4.044058462795938
17,3.601122851923552,6.434033514079155,-4.247044658955554
18,3.608977548047338,6.505232155471934,-4.387369373965399
19,3.68145870249079,6.623089207610132,-4.499441635779004
20,3.7541315285950887,6.674871803663843,-4.486442399547421
21,3.895519776174339,6.776951467507699,-4.575863754203841
22,4.030226236863528,6.73392519514287,-4.61488286447389
23,4.126070027026897,6.631416556504077,-4.588986076987604
24,4.251625393319221,6.487344021127358,-4.525698730350983
25,4.349972503859476,6.224297612685156,-4.240250671505701
26,4.558160144233501,6.057761883794415,-3.8211730675542395
27,4.8714608061444,5.945563262454864,-3.365237714685824
28,5.291165329503553,5.869638312920446,-2.9507489945350907
29,5.663479187792281,5.618803327669404,-2.487377416279328
30,5.781385634922157,5.245220885060729,-1.9407047168788818
31,5.69959226517212,4.893769238937744,-1.4031106960340394
32,5.552324340948662,4.58910301112958,-1.1036461622380587
33,5.363108648870487,4.291541518423785,-0.8925964281932228
34,5.1205912111497645,4.02699249361924,-0.7233999984510954
35,4.899559151945821,3.838458681680396,-0.5988561965468144
36,4.707777985064097,3.657246500352592,-0.4363138917414324
37,4.580056352096388,3.5211900371389655,-0.24976883512683992
38,4.5120719888528535,3.4271500448655994,-0.09949099523721391
39,4.4893942064906085,3.3812478408027125,0.028108425815882715
40,4.487023736145186,3.3843389504287265,0.12336020484394865
41,4.56613556246932,3.450920530171164,0.15783004797745986
42,4.757138832500628,3.651247541273859,0.1666530380878436
43,4.9957395689204,3.9387840149026054,0.11397029570068837
44,5.252446422732541,4.217036832885377,0.13974620194460907
45,5.524708269763206,4.372628852239458,0.28188830614830995
46,5.755365431660064,4.474064715578592,0.47065103977599493
47,5.877333437294376,4.530514076286457,0.6684839443211834
48,5.866625321251124,4.515658294182122,0.7523762217994486
49,5.695975223741946,4.464648369553953,0.7186953322043836
50,5.434695416442759,4.387869212548537,0.6631314773300315
51,5.185427692708517,4.28416442731617,0.687527311856204
52,5.027901956910478,4.199222240265703,0.7460810819951761
53,4.937113921512308,4.133891828106126,0.7886805976877932
54,4.898539737932456,4.09629229482322,0.7523162975625455
55,4.884613295990221,4.089487663594971,0.6466127717902093
56,4.8106921694787275,4.116322414136943,0.5536041128965258
57,4.631641297945665,4.163802382954171,0.49147319131562195
58,4.352621785001416,4.252580130079769,0.4137366750959555
59,4.026195626202361,4.305911072487407,0.36716572462527247
60,3.8548400703477386,4.442754020342252,0.36508024912324666
61,3.835944830427785,4.534098247164274,0.4804224790117386
62,3.9920743874618476,4.6450913303238615,0.5803719440200513
63,4.261535436371435,4.606429948449096,0.6682232765586964
64,4.455862967378458,4.456843961265692,0.8332625757574653
65,4.5884976806978575,4.364578982034245,1.0730498593882536
66,4.688844973796587,4.389094814572144,1.2290395931473879
67,4.8197328520478555,4.48789745466951,1.302303015560777
68,4.767642041204509,4.572844467531139,1.4145650484039545
69,4.578530646198661,4.649237288823786,1.4105671357995702
70,4.36065927538821,4.667244007374421,1.3980545610422639
71,4.2100428624793444,4.683022617126442,1.373707399395622
72,4.096384503125937,4.759300604930981,1.3710902559451719
73,4.0617142312513765,4.783635312383064,1.3986330978314898
74,4.005455690503299,4.780419687380766,1.3847550450606045
75,3.903260150919046,4.7138154944405795,1.3390015262676593
76,3.7914759129214444,4.67117000821475,1.2776880458471174
77,3.6700570134271913,4.616597684113573,1.2719312623776278
