no.frames,yaw,pitch,roll
1,0.2196409645283465,-2.405278206367652,-2.1562600939813374
2,0.26542957820624324,-2.415526137493447,-2.179688190228916
3,0.27993070992833124,-2.426406930659147,-2.1779575957677295
4,0.2628451787371238,-2.4386426371076064,-2.2132751269856206
5,0.21686269174335077,-2.4710115812915516,-2.2374961923860295
6,0.1439803722181808,-2.5052197680343786,-2.2056296048346966
7,0.1047318313257819,-2.5071631860812174,-2.1822083097162404
8,0.0956789159738248,-2.5350181794437026,-2.16726468533124
9,0.10643230827993799,-2.5766807934919465,-2.1839922648847896
10,0.12710012022498499,-2.628526074728952,-2.2104967416746613
11,0.1524395346987638,-2.6511262620623195,-2.217916654754856
12,0.17748256965979067,-2.636882879052931,-2.2388733255216455
13,0.23755757765072977,-2.620007905875219,-2.2594880677328115
14,0.32927759864673095,-2.6304694927757906,-2.297944934204857
15,0.4631935938913763,-2.650611859262442,-2.301731409999312
16,0.5620937177432294,-2.65563123529643,-2.2984475920682126
17,0.6601147215568076,-2.666844167713755,-2.2873739646334803
18,0.7107883211408597,-2.6053117539590405,-2.2426666692865393
19,0.7097744115901916,-2.4984913367229566,-2.182708619708473
20,0.7105651660573961,-2.3441342543479147,-2.191313994263437
21,0.708430358447608,-2.1590743682204994,-2.232197901030574
22,0.6680914752540204,-2.0582335649726864,-2.192823035067654
23,0.5838908254114947,-1.9762082760105144,-2.104111047544281
24,0.45295647449939447,-1.8898482150248594,-2.0116745473019453
25,0.30298369193109237,-1.8991859119276693,-1.8866530775764763
26,0.11062999974099587,-1.9254535863861397,-1.8232109118089381
27,-0.11795645807393282,-1.9416556046840847,-1.9047059703829234
28,-0.3746789059199048,-1.95038883149389,-1.825257314498825
29,-0.7342966046141264,-1.9433945234156194,-1.7842120482256432
30,-1.0206236265223034,-1.9463184767362647,-1.8117483915389465
31,-1.3039897879058757,-1.9253797351671502,-1.7866028343275473
32,-1.5502910957903884,-1.7426756832698518,-1.8683637026355038
33,-1.6695013104733563,-1.4615177434535485,-1.9482862061809714
34,-1.7343742736731664,-1.1492805718267403,-1.9151763321679027
35,-1.7439211997256234,-0.9886002371721032,-1.8420062641833526
36,-1.7176255215675837,-1.0627737688958376,-1.8728776160792198
37,-1.6801024731051029,-1.2638536252184802,-1.9432722206743442
38,-1.6506464156879952,-1.529569639021654,-2.0260571142667
39,-1.6442171714729974,-1.672526213152335,-2.060872201064065
40,-1.6625217988101828,-1.766325397072836,-2.0691645177475033
41,-1.7505871621714322,-1.8036367102485016,-2.0976251602857623
