no.frames,yaw,pitch,roll
1,1.6121693709594613,-4.93142048570985,-2.5097341328548772
2,1.613896336892547,-4.950153712321477,-2.5268231915132024
3,1.616134284959338,-4.991857855510208,-2.5253581040367057
4,1.6240199302933944,-5.007705730649328,-2.525779658198431
5,1.6373873819180447,-5.0119157226928035,-2.5285038190764704
6,1.652068251556558,-5.013120833982474,-2.523326319699763
7,1.6587939418339646,-5.009652777263635,-2.5257602346902193
8,1.6707846299597857,-4.994187822714963,-2.538115149686636
9,1.6909994831103177,-4.985916396449054,-2.551332383457542
10,1.7125262656505913,-4.99901381744742,-2.5547677457975513
11,1.725795002712952,-5.02128254944376,-2.551083936004061
12,1.734797643209881,-5.02803049191756,-2.542694352149672
13,1.7236137118845969,-5.023343013071122,-2.536848793379505
14,1.7033933671426396,-5.001456056798538,-2.5402047549869584
15,1.6870080805475463,-4.972391826265544,-2.5570868021395334
16,1.6946268432514395,-4.958773481064313,-2.5707176881139144
17,1.720964978724024,-4.9567188580968375,-2.5828826487356285
18,1.7435742057174406,-4.9680471254460326,-2.595103578199663
19,1.7308066675350844,-4.98424981675551,-2.593172966861535
20,1.6551375594440594,-4.98500882769176,-2.5562492524767686
21,1.5322921023112976,-4.989199609672171,-2.5370793116353116
22,1.4502064474282226,-4.986437629493577,-2.5741359750275676
23,1.407656506866563,-5.011560549971228,-2.624571473388374
24,1.4058796953341708,-5.0634315123150415,-2.6788474236037363
25,1.428451607200703,-5.1380377977425535,-2.7374584226609926
26,1.4550603762438215,-5.240797447872078,-2.8150329633436275
27,1.4604383109481844,-5.356234885844545,-2.9172008137212315
28,1.4600866619790849,-5.449769818674894,-3.0230919608157745
29,1.441049002994884,-5.535343387566807,-3.1031272838791466
30,1.3983308627849875,-5.606740738681725,-3.1878180084956687
31,1.3603629994659314,-5.659985007089609,-3.267570519810018
32,1.3307910831296461,-5.731693202378937,-3.3517632823054297
33,1.3259581776468896,-5.809146301162925,-3.4340068848822987
34,1.3469173818675135,-5.905678672592961,-3.516483353586098
