no.frames,yaw,pitch,roll
1,3.642516426666875,1.865494148598406,-0.859889747674867
2,3.6286561527196457,1.9010823538065187,-0.8643430309473563
3,3.6298365043724754,1.9061290508190893,-0.85166283830303
4,3.6464032627605523,1.8903421217322083,-0.8444427948493846
5,3.6583232073209677,1.8668277538654732,-0.8499111616112882
6,3.6537128422048326,1.8561883750540218,-0.8469183648606551
7,3.64307650672782,1.8670702275503945,-0.8343885964583865
8,3.646119380717467,1.8848434075598988,-0.8421911269735072
9,3.639449219930678,1.9038375037404665,-0.8507115743927218
10,3.618595708828046,1.9454324822241569,-0.85311323962384
11,3.6106338644038747,1.954322259075644,-0.8646900365685337
12,3.633564964168432,1.9748770330832306,-0.8678416885758553
13,3.666478004062962,1.9894238093527523,-0.8731681154711846
14,3.7013771873351304,1.9833701367099037,-0.8779349471105876
15,3.743690332264019,2.0016258279670995,-0.8675337964592638
16,3.7405518688997756,2.025682138080866,-0.8658576253732373
17,3.6924932698877333,2.0027005242730667,-0.8585890769050369
18,3.6550980861679676,1.9746518508981596,-0.862797220422999
19,3.647411150736079,1.9364059782937442,-0.8855361471307517
20,3.6607598706619777,1.9202852817138205,-0.9096089350583376
21,3.6812969128260664,1.9166586745986234,-0.9230651545746897
22,3.6937239812423455,1.8954305987863131,-0.9541989706166761
23,3.6969119633430214,1.8729433294895332,-0.9867267855588078
24,3.6779428722040777,1.8823491146549378,-0.9921710865764162
25,3.6317861123285247,1.8954609076680953,-1.0193999554620476
26,3.5929245128443497,1.871822754634917,-1.040804781990034
27,3.562316170772629,1.883878005642293,-1.046095524825579
28,3.5417398704077607,1.8505645833836541,-1.0434887334085134
29,3.5007882620080997,1.796244971621794,-1.0430160616986066
30,3.389130103104628,1.7436372780735432,-1.034525153161263
31,3.258652238067078,1.6663173746864435,-1.126107539823478
32,3.143498312502863,1.562055756873342,-1.1939369863708784
33,3.0316939354654977,1.493256811402159,-1.278211817634215
34,2.9343888510475464,1.4328088291211096,-1.3182634276695226
35,2.822633235614708,1.3835725623051258,-1.2911642755751873
36,2.6848821176965463,1.3185474022603676,-1.2851942796354507
37,2.574865136424248,1.2680321954906366,-1.3263856632862865
38,2.469646720436857,1.2404521677952882,-1.3138488724019015
39,2.4065940985032155,1.2124112227976154,-1.2521191662958935
40,2.319585821333759,1.179478795989546,-1.132763790567865
41,2.1725878010644086,1.1345757482559775,-1.07718352236857
42,1.9745523865396357,1.1208837109109582,-1.130439278824022
43,1.6655219799824954,1.0923261150567256,-1.2580027597164072
44,1.3538966422263075,1.0173996528376712,-1.3582171413915807
45,1.0977952673971558,0.9425666314611466,-1.4728468771506824
46,0.8421694624675564,0.8547400581550428,-1.536313580515248
47,0.7500006500250053,0.7613724022749837,-1.5387872743328979
48,0.6239454553459691,0.6987117052977889,-1.5457663212488626
49,0.36197048538482013,0.7180893856169461,-1.4289778536473308
50,0.11267514777905037,0.7482322742908356,-1.3130626514746306
51,-0.14465153167562605,0.7783975063593195,-1.2331253157887336
52,-0.34130857648403623,0.8132700258803776,-1.2339021409665194
53,-0.48661383195868524,0.8670707048354421,-1.147233655092308
54,-0.6239084229146147,0.9615858345482411,-1.089845019696035
55,-0.7982837901568793,0.9525245276509082,-1.0735186943732158
56,-0.9984054483701517,0.91181671632167,-1.002353511095
57,-1.249115598799863,0.9583825912852597,-1.0391589154038556
58,-1.340124764775199,0.963406395162041,-1.1913873050516748
59,-1.3572989053581561,0.9525726592700473,-1.3271538440294792
60,-1.2218214550261368,1.0592200525068978,-1.3848764963637876
61,-1.0321334555976172,1.1388011692291986,-1.362459340639446
62,-0.9080046944009359,1.1937016656514092,-1.241233688715322
63,-0.9676271223248263,1.2657233844044684,-1.0810978716519208
64,-1.1247059598807811,1.4322451266085303,-0.8286488364027247
65,-1.209529856128687,1.5577308442204367,-0.6010557842310466
66,-1.1711576556306318,1.6723854476063122,-0.5078228496760053
67,-1.1561975068793346,1.7954885302342207,-0.3681703760681021
68,-1.2865975595176744,1.8846715860821912,-0.20512060955929104
69,-1.4507847707746189,1.8915094405664739,-0.0367497122197212
70,-1.7812625724869453,1.7704284239210812,0.2469250218752578
71,-2.360456814413154,1.774626249591282,0.676125591867236
72,-3.0009312590480546,2.0397787560568243,1.081469665700959
73,-3.451641744894346,2.2661394203733916,1.4427406441396953
74,-3.715896422365686,2.3617849687875903,1.7181094183397443
75,-3.910558040318871,2.405544375279234,1.926499242807619
76,-4.053636819289825,2.4230813295735176,2.0658337046103967
77,-4.192945329296091,2.4648152673611974,2.1183333835990705
78,-4.296679569958491,2.5304186500102785,2.148913738974627
79,-4.344527184354046,2.567587160404728,2.1190050881833518
80,-4.3287830004640195,2.6132165082459693,2.0194933203754317
81,-4.256883199477354,2.6810488972987443,1.9273314563996475
82,-4.117169791363297,2.7303956586030846,1.8305261436691629
83,-3.919007279949642,2.803616219948749,1.7229636682212321
84,-3.735689402826309,2.898382652289533,1.6349682077658283
