no.frames,yaw,pitch,roll
1,3.2325626941376586,3.626376985459443,-1.099358522680053
2,3.20939475565776,3.615544442825029,-1.1038408220985179
3,3.2011295300986173,3.6027061843869674,-1.108786932785379
4,3.2116909736169914,3.585903140087513,-1.1051080321769666
5,3.2046240540154587,3.5445116690630316,-1.0915525715945464
6,3.1656626427986843,3.4596775441423504,-1.0889107753635616
7,3.1060991305928196,3.33280857258764,-1.1358549931141395
8,3.0159875744576308,3.094756310414027,-1.2183228946300733
9,2.92169357183834,2.7443411280891157,-1.3100788112539752
10,2.89408474184889,2.481792913498853,-1.3644773234464236
11,2.913495446201967,2.2279099257295663,-1.396615702222069
12,2.9871336742238723,1.9954152145778772,-1.4264712721411843
13,3.0754843030369843,1.8270542826053173,-1.4446802874620577
14,3.1716962447015966,1.6930464058207721,-1.4721094169793811
15,3.2651276666269538,1.5497868428072303,-1.485374971986076
16,3.317775713357846,1.4274076475874513,-1.4687175969765798
17,3.3199193196940193,1.3083087631744463,-1.4380288392073863
18,3.254546665242594,1.1944875621494464,-1.3905898582942147
19,3.131744442770671,1.0798634016879278,-1.3425979507319061
20,2.9731015157301233,0.9765365964531045,-1.2830816225095476
21,2.7816840153417597,0.8427385767742683,-1.1990809585606406
22,2.6314310990412606,0.7283993320382532,-1.1411484039995259
23,2.490578071410656,0.6354858117082086,-1.0748121579196872
24,2.3006921568627163,0.5107839112336904,-0.9761031735150976
25,2.127574390900139,0.41867898389747477,-0.900089359044485
26,1.9485560778026834,0.31289472315591815,-0.8305739892246293
27,1.7601199850455531,0.19093701492781082,-0.7444138755323016
28,1.614958748576138,0.08724834156975202,-0.6657945040147139
29,1.4696817162628033,-0.005438121997688437,-0.5789870698256147
30,1.279977446055047,-0.12967279364685647,-0.4822037176155414
31,1.09236709607998,-0.2526597660108225,-0.42015593224220243
32,0.8313405712258346,-0.4052991237604713,-0.356928258387752
33,0.5602934826760806,-0.5740894966919725,-0.3007338383241862
34,0.29951667728788584,-0.7577076893707922,-0.2369013192112322
35,0.0423253409644434,-0.9339931668329663,-0.15612799687816697
36,-0.22043932291697463,-1.1425385531728807,-0.040632294508941624
37,-0.4235395705540096,-1.283862929986752,0.07270716919827273
38,-0.6537425286821089,-1.4218914293496603,0.19852272696065415
39,-0.8853224902789611,-1.5706170612476495,0.2930951523054249
40,-1.0652105389582616,-1.7054733675156364,0.33160173055975417
41,-1.1906896671636151,-1.786613755834726,0.35653429521673025
42,-1.3092317587903193,-1.8652652448192428,0.35449052122061714
43,-1.3994828953036575,-1.9308761014683353,0.3262464087630152
44,-1.5192972922366093,-2.007387779661159,0.27744782948032365
45,-1.6472496604724183,-2.1017436925081965,0.21611094405902817
46,-1.7867019790596546,-2.1873539039767427,0.1512576051650596
47,-1.935597456855785,-2.2987015195224707,0.08678851109692481
48,-2.0935110497481,-2.471578479296003,0.012352399431192939
49,-2.250871927557443,-2.608387431761806,-0.03793745475125057
50,-2.4468350180393124,-2.75603361287144,-0.0730680553111017
51,-2.5942222631952263,-2.8745374550211635,-0.12027856227457644
52,-2.704413844133922,-2.9730971031520035,-0.1719982880237496
53,-2.7934585890284085,-3.106095764586653,-0.22601463816669076
54,-2.888972145755058,-3.265487246880445,-0.28355826069506734
55,-3.039138688684135,-3.39708711199193,-0.3932522977500936
56,-3.249439191776668,-3.4633325788083655,-0.5362544188070191
57,-3.507286102065067,-3.479678208026038,-0.633016373315402
