no.frames,yaw,pitch,roll
1,3.567376259930417,4.855172807115925,0.9736599935410489
2,3.5249534053871905,4.872815755925985,1.0264293294444375
3,3.4740946748713344,4.866559251830551,1.072316786013824
4,3.436664034666131,4.856755289422269,1.0924419077917027
5,3.4253790988302417,4.83739275416874,1.10616536136674
6,3.4391758298831068,4.801086284165172,1.1605697666399222
7,3.453855827807641,4.77698837722153,1.2264393258776045
8,3.4573652928846457,4.7500853242331,1.282542402450599
9,3.4310925364889786,4.734656273129672,1.3392955453601842
10,3.401732621526716,4.760544136346784,1.3793333560132437
11,3.3856879105940756,4.794380264593993,1.3725147811165053
12,3.381559470714671,4.775010594506318,1.359679342083201
13,3.372806298756098,4.730323097847803,1.3479014600326957
14,3.3612149576791666,4.693866057391736,1.3221961206484871
15,3.33916524618276,4.6473632404491285,1.300501878244457
16,3.322191205170693,4.621147907718461,1.3044873894773756
17,3.290241736064086,4.59136766411991,1.3194932794371304
18,3.2390370554833874,4.5724478864514,1.359760983965466
19,3.18440527109558,4.593948215925104,1.3810081442597026
20,3.130830694017792,4.608910927144615,1.398565009568895
21,3.0816538680222574,4.602849732259575,1.4008754214762842
22,3.0268655928364434,4.583861225254317,1.3957340106004756
23,2.9718394282795813,4.545646483298943,1.3858457379190976
24,2.8951141766153308,4.497799338885143,1.3557795281463072
25,2.7706607604147777,4.449390456796103,1.3163829852483226
26,2.56208157779151,4.372820099089537,1.2651662986196022
27,2.221029734919923,4.275953619471491,1.2149653864162375
28,1.796902162093673,4.210553650045764,1.2200263293453433
29,1.16654522773898,4.190047171114873,1.2299742592975527
30,0.48231326744489367,4.188806627931103,1.2489933957338781
31,-0.3573545582351436,4.1815238795776555,1.284844502575774
32,-1.3195671253780685,4.145910130214543,1.2762677895555303
33,-2.5362520072283603,4.0852534325208385,1.2370390383363843
34,-3.723667448900327,4.001655513138564,1.1566149697209753
35,-4.945360161251085,3.8924662299274337,1.0400961085951876
36,-6.297424296366299,3.7348081115149037,0.8972537633641257
37,-7.400932239865467,3.6080593615189116,0.7194044979287341
38,-8.488608046582957,3.4877325356058675,0.5254153890033989
39,-9.28450587356659,3.350539085849207,0.38941301112224225
40,-9.876536465714851,3.2006362583681125,0.31062611320950034
41,-10.287994119040965,3.0290781652113514,0.2501451892166701
42,-10.45115847182246,2.8710392356863905,0.2233247976538304
43,-10.419439669468542,2.7358500358429443,0.2535779995536834
44,-10.221022116079835,2.6609462078830544,0.33339404154036684
45,-10.003927258707538,2.6754939886428994,0.5682203973374361
46,-9.842767731030566,2.702188267305912,0.7970122010514417
47,-9.76798177989377,2.664299858004079,1.0727564806276906
48,-9.812594376577554,2.5672398926888986,1.2519913232576965
49,-9.933091634900277,2.3540285856569945,1.3680087651003197
50,-10.139516906616771,1.9932414892193926,1.425753888940947
51,-10.315918873951318,1.580186444578203,1.3529113901255632
52,-10.417791872947772,1.1184044403611477,1.25082848041481
53,-10.383064447721171,0.5597931462005341,1.0881495724914487
54,-10.22641288666643,0.10692354161422343,0.9652149983666973
55,-10.017796070460575,-0.2661619825816812,0.8745083266324174
56,-9.749666478876401,-0.5651784980834561,0.6992060280284003
57,-9.531705034214685,-0.706199760001286,0.583364527327276
58,-9.323252143880325,-0.7952843653441726,0.4654713552239286
59,-9.100185945126551,-0.8934028030577478,0.3338634569562517
60,-8.920562563767254,-0.9568859353656883,0.25259981509349316
61,-8.75901552475646,-1.0144666281967745,0.19253673325299742
62,-8.633929085551113,-1.107428049011681,0.20494174398306664
63,-8.550683771370828,-1.2248141721741668,0.2255661135244013
64,-8.480346011903436,-1.3769237084387684,0.26996469034542103
65,-8.419986991000798,-1.4884844431784705,0.3401573961413521
66,-8.370062420406418,-1.548916203804481,0.3953631996981429
67,-8.295535443368674,-1.5529387473683096,0.4366209300843904
68,-8.203763992570243,-1.4762308391899965,0.42631148005739294
69,-8.13804433226391,-1.398709937250092,0.43207261113431894
70,-8.044389825137358,-1.3548102842577712,0.42627151277917336
71,-7.891531611202705,-1.3693822396672006,0.41629799599654366
72,-7.73793140525973,-1.4291201179872082,0.4080020910429471
73,-7.601270796242553,-1.4541760571703468,0.4524095257654147
74,-7.60320802438018,-1.3830685140558245,0.5205027755160709
75,-7.723240082547736,-1.2606362752564342,0.5858104287047814
76,-7.917457751776881,-1.1590920050895157,0.6752188309075757
77,-8.038007815296558,-1.1304851154104614,0.8399542934145122
78,-8.130845254407372,-1.1582231860522367,0.9731148590760406
79,-8.19790449644484,-1.1068211243261383,1.018205972945192
80,-8.265600758689251,-0.964292228281496,0.9885314495766804
81,-8.363328652966366,-0.7655987174306625,0.9353422059814338
82,-8.42361198602529,-0.6041872897595846,0.7910944825540411
83,-8.405281723141242,-0.47551237348445907,0.6196306434846679
84,-8.122893142078647,-0.4194915362727603,0.3770758220351865
85,-7.725776664653024,-0.32152653467345643,0.09758725345721272
86,-7.475647329051935,-0.16124666329586212,-0.11959934532846475
87,-7.3755928826923896,-0.05851711123358242,-0.26266836755370504
88,-7.35528998048313,-0.02411573340836306,-0.4404055485192698
89,-7.3078578233784235,-0.08355060794229721,-0.6235649391096755
90,-7.295054529790111,-0.19510323015623876,-0.8147937978778099
91,-7.292532461954696,-0.33552935607824985,-0.8957140893377594
92,-7.287517354823612,-0.48391073127407913,-0.9703368931159445
93,-7.269407434197934,-0.601846995856072,-1.0672595901209885
94,-7.159592140018446,-0.7623430562921625,-1.250325712921434
95,-6.854801265361323,-0.9095214001177122,-1.4563779333989604
96,-6.479852296986358,-1.0347675292597656,-1.5670070268476888
97,-6.155909777034271,-1.1591487808821497,-1.6141354467593185
98,-6.024805876059801,-1.2879511072206362,-1.571010275551756
99,-6.007148113355694,-1.4148388513789496,-1.576666541215576
100,-6.096808425752808,-1.527082720174879,-1.523219538947491
101,-6.314449108035925,-1.6342303949258281,-1.4571705533461254
102,-6.6739011050904455,-1.8200410723487654,-1.3134268936389821
103,-7.187548286522138,-2.162282875642803,-1.141237303420242
104,-7.6175148976884595,-2.4559765288728417,-0.9026069240463548
105,-7.946192728484276,-2.6926212150718425,-0.6567444501384503
106,-8.20726278538999,-2.9290160866783217,-0.50190577150883
