no.frames,yaw,pitch,roll
1,3.2018074318796996,5.264556830815468,3.2122292764328657
2,2.9662630209173515,5.351428101175154,3.4945710992718593
3,2.5971617855588014,5.4702383993317145,3.7441334395779586
4,1.9626700242241144,5.571540646009967,3.9334833192774328
5,1.2941526881405425,5.533470619863023,4.009565790218833
6,0.6904942819544229,5.423932805703251,4.0725348923310944
7,0.17794707587728273,5.246912224391114,4.1338137637335715
8,-0.02153692849108049,5.110295051552997,4.1454206588698925
9,0.08207908906427028,5.083757143118465,4.076598372831376
10,0.40254362271910726,5.146120915443548,3.969620044074757
11,0.8437425403873344,5.292063079784168,3.8805586506395726
12,1.2121648030510146,5.435767144182614,3.809745425389152
13,1.4458686488052959,5.621069688220896,3.7544107118160106
14,1.3343046913268153,5.822259943992322,3.7176104092776834
15,0.8179182892114151,5.946320565829954,3.7073834685558733
16,-0.08018358486581134,6.0216260476061985,3.693881928936139
17,-0.7234427404936238,5.973857927842981,3.6379538232435658
18,-1.0591849411614533,5.656369246330307,3.61909132307803
19,-0.9804603005321105,5.292204807360565,3.6611282729856094
20,-0.639191237759051,4.986324076676342,3.7689722085267965
21,-0.1438303882031531,4.708732938643621,3.80246822660948
22,0.21266838202629448,4.251625618661348,3.781686570991517
23,0.0005551744343947877,3.4359313698245266,3.4905795049183017
24,-0.825129207959352,2.2816432792460644,3.0726790239295143
25,-1.8807709881740777,0.7120955260329169,2.7276588354752516
26,-2.62912314172641,-0.5699388326105261,2.598077882182804
27,-3.2704919118167095,-1.988784114078921,2.780007208473595
28,-3.672373295012391,-3.096659330575645,3.0134578225969904
29,-3.9073021833984294,-4.289890306780693,3.378796850200642
30,-3.963130528288137,-5.450607422439473,3.791396512188889
31,-3.883927205373964,-6.211932308534746,4.076234670195991
32,-3.6651753363886,-6.85568869713348,4.222601774710438
33,-3.3646279085220834,-7.487279235683514,4.281174487722526
34,-3.183665051363045,-7.949799951437772,4.281066484479067
35,-3.1373417368278473,-8.393711226475375,4.256379994202941
36,-3.1882581276099953,-8.956346531815685,4.2038808348481265
37,-3.227986692380834,-9.540386409214202,4.092566823259297
38,-3.2074097123681193,-10.21371791413139,3.90697409644513
39,-3.1002603197939647,-11.018546862496938,3.669415404281863
40,-2.983154246111593,-11.837700147058325,3.512993136438921
41,-2.952931684589674,-12.857388561613224,3.4920725375103085
42,-3.021857194047402,-14.059221746924583,3.601172797545643
43,-3.1512616550956443,-15.185877542953362,3.702296272158745
44,-3.3504307587211697,-16.46800603632746,3.8718954330778272
45,-3.60659467229935,-17.953385935467022,4.186958619864159
46,-3.8410330685498115,-19.415231879216233,4.447965923897191
47,-4.18462523753708,-21.119946438941707,4.688795027632615
48,-4.636961204744062,-22.825046924236997,4.857019534511998
49,-5.237178698880742,-24.976744063972326,4.929537899529388
50,-5.961356068746528,-27.021725659710466,4.9590920504217575
51,-6.770967746307799,-29.29927884198523,4.978144858713151
52,-7.399085552540725,-31.263484258535875,5.07079835805569
53,-7.87402654795643,-33.118027851916835,5.073103138733313
54,-8.277589545603567,-34.96510907254844,5.112219472981916
55,-8.643990456377715,-36.148991819299496,5.307701099119536
56,-9.010665343678058,-36.644625688760385,5.5483069635993445
57,-9.285646524422418,-36.993848749803746,5.729940394867981
58,-9.525178735455746,-37.32125904624516,5.946371365774505
59,-9.736598513308069,-37.50972092348775,6.194621106083529
60,-9.9196592152853,-37.52612314205196,6.338771559272295
61,-10.072825544115853,-37.331100147386195,6.350657465626634
62,-10.228599418733626,-36.73358882780583,6.272459325296079
63,-10.35968281273788,-36.054255489066556,6.162496328407115
64,-10.456813914389075,-35.332265635060665,6.0383686847939
65,-10.45058046236932,-34.49818196681527,5.875128122054406
66,-10.367354885036125,-33.6108602129193,5.787725245060793
67,-10.274304000780138,-32.60810681664037,5.757384622733442
68,-10.19279021715901,-31.499106030892296,5.775649977586838
69,-10.161400156680921,-30.636445692112805,5.772374448388947
70,-10.207663011333482,-29.870208842470888,5.75761258214849
71,-10.358372259546488,-29.099597510878276,5.789275676952484
72,-10.516243873051067,-28.640389662318963,5.778649308766868
73,-10.746873573568479,-28.273722467490337,5.778490078688567
74,-11.050520477817269,-27.81177770491568,5.818624119389375
75,-11.31381852509521,-27.430322128352273,5.834511882506293
76,-11.556239929613657,-27.013335067683283,5.856966501541565
77,-11.807921027481358,-26.50171413642401,5.92659140417093
78,-12.06450184008566,-26.042460287284072,6.09204069727272
79,-12.273952899812606,-25.682520847544513,6.232976719178351
80,-12.356696091117698,-25.35949496595825,6.306907664166524
81,-12.308954388605613,-25.082841058864307,6.368289364261007
82,-12.208163983385496,-24.82671936641632,6.475425871565671
83,-12.033970746413246,-24.55288266573268,6.587738045722455
84,-11.92085174960769,-24.38529721199309,6.727120137024331
85,-11.8139074771073,-24.33251524074293,6.885955075396738
86,-11.658535549997566,-24.28901684735944,7.00807052469872
87,-11.43990132623825,-24.174020164871102,7.05785732676366
88,-11.114203148518522,-23.86696473170789,7.040502183890661
89,-10.57816847867615,-23.168759995942857,6.954768823814703
90,-10.048530965908595,-22.298775315641798,6.897924819406389
91,-9.45332893057992,-21.149100696101993,6.951549713986717
92,-8.991441466996553,-20.32615977396501,7.025038663417298
93,-8.562217493235625,-19.83577512336239,7.028174104563906
94,-8.25901042638676,-19.760874875229497,6.9938862410211105
95,-8.136597174179606,-19.959230249780568,6.9898478588743576
96,-8.218046034124344,-20.221260360244298,6.963649229828713
97,-8.408022358805317,-20.401484895145636,6.926226314398248
98,-8.69699178069028,-20.43747310863512,6.92662716438089
99,-8.896516739248607,-20.509577608258937,6.973629869853501
100,-8.996574173093409,-20.766988565331744,7.041973247831223
101,-9.010361397791323,-21.167273986380685,7.086211838673789
102,-8.975286483868373,-21.808126486589433,7.136032149232543
103,-8.931046135517779,-23.02932836853307,7.178199389163375
104,-8.960568160437532,-24.63583064928713,7.0988085173615705
105,-9.123586951312785,-26.531927432733283,6.960297786882216
106,-9.550976569482447,-29.002151903640176,6.7179178048523305
107,-10.113876168216922,-31.3452590966635,6.495189767758191
108,-10.921339306946837,-33.616609364529864,6.138015351244663
109,-11.853874370612232,-36.077624255260496,5.495078241599993
110,-12.642746990328753,-37.98682569249229,4.606352927783417
111,-13.503574277343764,-39.506653460332515,3.822446265307778
112,-14.57256045352433,-40.93834700214324,3.1360698617094895
113,-15.501718814993023,-42.0250818191325,2.6069728986573324
114,-16.532260500604334,-42.90718677995058,2.1926360591490552
115,-17.54888422706449,-43.615179958598354,2.064032229231717
116,-18.666430166293956,-44.213587684767255,2.0066944345502495
117,-19.705467158352718,-44.822428782039594,2.0018708400474927
118,-20.773453085857252,-45.792247211850224,1.8759537271561064
119,-21.962133135791618,-46.54476982587167,1.8207974023838995
120,-23.241554044794796,-47.01240227892713,1.8641424208983952
121,-24.565000143391995,-47.45982125461178,2.0410826356887126
122,-25.673109314846684,-47.883323613034854,2.1923568759281333
123,-26.678079519550618,-48.357474685826006,2.4781814454152733
124,-27.599367804354888,-48.739329234914806,2.856329688479935
125,-28.459471505542204,-48.90123386758896,3.3925618369165362
126,-29.37894814657776,-49.03471310048272,3.960713074801778
127,-30.55511060888869,-49.373346253895505,4.395838827379164
128,-31.785652419590082,-49.631927343102895,4.484776207535672
129,-33.04956894683124,-49.844685052224335,4.421117474405171
130,-34.404133185035235,-50.090466103277954,4.314880723878783
131,-35.6551843881924,-50.231712838033715,4.208816006406458
132,-36.88907385693967,-50.40879307910631,4.285865158232942
133,-38.007213775760235,-50.74716735813317,4.528692535417514
134,-38.799149142949005,-50.93559907295656,4.870144703379237
135,-39.36908433960012,-50.91184348470516,5.391122871767187
136,-39.72925229524576,-50.69760039078277,5.879547717230445
137,-40.04888034785664,-50.45577025133034,6.290304620103768
138,-40.355855214962965,-50.27355540781362,6.599119653212249
139,-40.76352723037474,-50.12663176101004,6.807014739368754
140,-41.24522105261089,-50.07029902289887,6.914599530450152
141,-41.86495281522476,-49.97819713582561,6.882024354895992
142,-42.37555003972559,-49.731138589154526,6.562078097259539
143,-42.79093333656587,-49.33979644168733,6.008019206536422
144,-42.87448753063927,-48.60023756794628,5.243371596322914
145,-42.38481566867167,-47.620260766906135,4.864995552696981
146,-41.3654158931691,-46.45144548418061,4.834450748588407
147,-39.62782599049235,-45.001007423696066,5.090603195896413
148,-37.69098864461515,-43.69959664424435,5.4599196072332665
149,-35.68801156909361,-42.65214784118476,5.782160850868003
150,-33.35841026309191,-41.53965563777728,5.9141753000759705
151,-31.299267555793605,-40.60559269821792,5.826581713659383
152,-29.25186973003743,-39.74294913309789,5.6738516344443255
153,-27.028284606863497,-38.780364493783836,5.38319724314118
154,-25.05601375054151,-37.948761880113565,5.049603682029881
155,-23.0344236381698,-37.16726191108198,4.747243088679921
156,-20.75355309078271,-36.16883491145318,4.423493067322921
157,-18.60420514976849,-35.147290143753196,4.0571345522164535
158,-16.443292604590837,-34.30285003525446,3.7633889709940247
159,-13.658911016304213,-33.433438079273664,3.470607643136587
160,-11.40704784949257,-32.86857333358621,3.1978898596851173
161,-9.228596152132601,-32.50462039410416,2.881365897084752
162,-6.930052958960985,-32.369766373991716,2.3913193668947503
163,-4.792819932925851,-32.29078023215077,1.8412994570428578
164,-2.9400091010335054,-32.16402579572442,1.359847641754223
165,-1.0509904357866502,-31.906311547270274,0.8497154873666536
166,0.3993143039915606,-31.526094964989596,0.3457482527392411
167,1.5898702805055163,-31.21666280692735,-0.22994610566653723
168,2.9412393729820097,-31.063054983183,-1.047074699117382
169,3.9351439044905594,-31.040939598583662,-1.848292697906981
