no.frames,yaw,pitch,roll
1,0.22008255225986353,-2.9354637607986582,-4.427300641778288
2,0.02664908988739984,-2.942920466945425,-4.3991006085773625
3,-0.18501317327263236,-2.878676280022789,-4.483230477002793
4,-0.4160096873126712,-2.797476721992229,-4.45458708136226
5,-0.5594009690639297,-2.6609997395669596,-4.436161176644886
6,-0.6188974653768745,-2.478013434468086,-4.54518458800478
7,-0.6903137088309315,-2.396201648521531,-4.535991505601996
8,-0.6998938494119123,-2.3454023044399506,-4.482894087453993
9,-0.6149541517678629,-2.256308053751386,-4.525416561991839
10,-0.5388994628845452,-2.350134707510243,-4.4560414650227775
11,-0.47823767228353703,-2.4788422419668095,-4.349472174176008
12,-0.4595770087797459,-2.6021263503662846,-4.291509501652008
13,-0.5204251354762719,-2.714497648828283,-4.217282344749198
14,-0.6219924481592705,-2.7002728440483406,-4.109598465173569
15,-0.7600804082641572,-2.641493386039641,-4.043199622415281
16,-0.8958526141097998,-2.646641571230668,-3.9078392055573272
17,-1.0141197924254852,-2.606742659163047,-3.739407427503183
18,-1.1295021529977198,-2.510155473571457,-3.529126426145782
19,-1.2221953021699172,-2.4228554168885426,-3.345723490560464
20,-1.299631688572899,-2.334071703001502,-3.218296496234932
21,-1.3415640280573573,-2.311795191835891,-3.156488869988892
22,-1.3465532812608214,-2.3541310393266794,-3.1161609568167252
23,-1.3141381957267055,-2.3783065574323157,-3.1163735458748576
24,-1.2151707538254206,-2.3942271117650797,-3.1591677909413276
25,-1.0636450425256552,-2.419200809112818,-3.243203246071436
26,-0.9589277026076829,-2.4421933086230214,-3.326422068936065
27,-0.9261774796340169,-2.435436547150955,-3.4458081389226285
28,-0.9601075110475162,-2.390707614766253,-3.533624306890797
29,-1.0047878331676008,-2.3324508005690263,-3.5763771082316875
30,-1.0302012591432361,-2.282008426581884,-3.613333916196426
31,-1.0338264442687908,-2.258719504675442,-3.6167259496420576
32,-1.031798349446457,-2.2309404199007923,-3.598100501458529
33,-1.0223134579864666,-2.190262520970073,-3.5540567620684547
34,-1.0083432667427297,-2.1502187425922408,-3.4744144373008226
35,-0.9689308346632256,-2.1383583031752904,-3.4012235316044146
36,-0.8985472304189227,-2.107820902681683,-3.318909308225059
37,-0.8223207729527091,-2.0394700541238797,-3.2463297566372296
38,-0.7484447009387502,-1.9916504378356146,-3.19806390463779
39,-0.6353790851244903,-1.970795152412815,-3.161780331173805
40,-0.49632001087231603,-1.921868068934168,-3.1401137489282633
41,-0.31625373543448315,-1.7944360436421989,-3.1060881628092867
42,-0.047036203740104525,-1.5993510493489238,-3.076777339697797
43,0.2983560253939548,-1.4207389447920413,-3.092734752513191
44,0.7917227532266147,-1.2421104051372907,-3.0744309626736457
45,1.508141748961638,-1.0237429602861172,-3.0063247459054443
46,2.2874254043553774,-0.7863959462569328,-2.9098327672485933
47,3.1500879329764944,-0.5354879749729848,-2.800293882198738
48,4.140883340429143,-0.24971288627341773,-2.6987829884331878
49,5.008159941918263,0.032946871053851134,-2.6444293404691503
50,5.905841240819013,0.31937814672681,-2.6346446942814703
51,6.7816623410693495,0.5512125911885187,-2.639280245651481
52,7.496291266656319,0.6687770812948417,-2.6403869467221828
53,8.158051600695863,0.7762849978558761,-2.6408851222861207
54,8.89443602421698,0.9917141118983819,-2.642496188762815
55,9.546224426770223,1.2190182388618476,-2.6336545329956484
56,10.289829900746597,1.5258425003337859,-2.6416381485884233
57,10.999297911877637,1.8281714423746624,-2.657380411031731
58,11.738420283918442,2.1299331657770564,-2.6670973958424744
59,12.61846054815689,2.520982026696848,-2.6598290271711895
60,13.437293233543153,2.8498633678067913,-2.6464813798314895
61,14.226567880434398,3.1281755953660095,-2.6362011193938253
62,15.031470531202771,3.4258647060919523,-2.656140094749793
63,15.651880789853797,3.681167682443847,-2.7380330107578748
64,16.199153598080457,3.9264123073978423,-2.824075468813307
65,16.72468247448782,4.13027660394805,-2.87097437333569
66,17.098420361920148,4.310308759890983,-2.871749179212684
67,17.40549930911865,4.573763135435982,-2.8297306365796038
68,17.645526686792955,4.903968351265489,-2.7495228517100356
69,17.82509877768572,5.3642125148242465,-2.61860830761918
70,17.904462976010997,5.843710779288077,-2.5164935137123496
71,17.910152344732204,6.391204736128506,-2.43537696288522
72,17.86918808208148,6.8809136675851486,-2.3822602128843737
73,17.803352311514256,7.317394092707661,-2.3449761885783165
74,17.71202516142946,7.716804988111688,-2.347357809508204
75,17.643797002403026,8.002881407212964,-2.371872377260666
76,17.599072518352923,8.229891768389729,-2.3979608539759383
77,17.581518027832146,8.507194730989347,-2.4092086507595027
78,17.600414719670948,8.76574588194499,-2.3941596506262512
79,17.62082276403536,9.017699127039535,-2.368930494742347
80,17.627989087218495,9.31211860967246,-2.3410526399196687
81,17.594562653618937,9.58667241731057,-2.321459930725441
82,17.54515071931391,9.86334314994308,-2.3452780000135975
83,17.496746109743295,10.164189808934676,-2.385458653683693
84,17.463998015593095,10.414057534455997,-2.3766801769940438
85,17.44106411853152,10.629018148372852,-2.347066029994747
86,17.422753465841446,10.847265886326694,-2.3086226251909574
87,17.399589272936666,11.017228486961706,-2.282771710344864
88,17.359198890187756,11.170356721449366,-2.2677372243240144
89,17.297652319314476,11.315331338860519,-2.2676586773627765
90,17.218017413811502,11.462441410601965,-2.2899145746324323
91,17.12674421761643,11.607973173182923,-2.3154069055250486
92,17.0159893773522,11.754357699757737,-2.342550811393668
93,16.908733178070154,11.833291886622586,-2.3683187675931414
94,16.794390907496712,11.876816722583786,-2.395194421463428
95,16.653614829914176,11.88300853396567,-2.4344501840648602
96,16.51214455718656,11.847976596224402,-2.484559757487749
97,16.3301216701393,11.755385696187068,-2.55001586808549
98,16.130824769179117,11.618153731225835,-2.6091207343285974
99,15.8924279612168,11.448068538359037,-2.6638236097243597
100,15.644181396576965,11.294615261503898,-2.693315377594327
101,15.368200438772591,11.205205685964636,-2.657078175985229
102,15.14344290068843,11.219392534647438,-2.611349315089393
103,14.930228476055456,11.299468001263229,-2.565812985335967
104,14.774952355516238,11.374150370005793,-2.5150055876053194
105,14.639046808792143,11.414806590535115,-2.446623282752497
106,14.51622118056451,11.426731741481472,-2.416828773213723
107,14.401223012700811,11.433120342908298,-2.4228584051205755
108,14.300552136761993,11.423718619056967,-2.4374475942385847
109,14.179623608984697,11.42751039417868,-2.470041803114171
110,14.081986215449142,11.460415477207444,-2.517704601466086
111,13.981539030022466,11.495883739732678,-2.545118422363743
112,13.87980861238299,11.53298106232656,-2.5418309759045434
113,13.79447435916297,11.555712149295484,-2.5160873276010776
114,13.71642926035226,11.553948162067087,-2.501487694848656
115,13.6292190890489,11.52937026755942,-2.5062820845219256
116,13.546848146076996,11.481185369048744,-2.524341464810227
117,13.447072011925288,11.41391698977781,-2.5642078952584972
118,13.342863843408331,11.332590788891912,-2.614542241016099
