no.frames,yaw,pitch,roll
1,-0.047413421608727996,-2.493955394292399,8.0739902979768
2,-0.1011806932992467,-2.390165037207212,8.023274977595845
3,-0.25700381961907204,-2.376116444320992,7.965365602148099
4,-0.49915811451272407,-2.4943583983768898,8.05615776452
5,-0.7425731395784123,-2.7234903062397446,8.201869453461653
6,-0.9813760794757749,-3.054284285588992,8.366290417800844
7,-1.1243758687544003,-3.2018610066111397,8.444165352234734
8,-1.1883168232286117,-3.0793492953932953,8.422155742644637
9,-1.2092128918075256,-2.8639603524200212,8.441787573317459
10,-1.1661712839209966,-2.6618315172489426,8.442250322392205
11,-1.0920706001517575,-2.4926881979624187,8.443995449899173
12,-0.9594997309421475,-2.3306111168627432,8.369177903724802
13,-0.7847718085500873,-2.257997435417513,8.239568135002855
14,-0.6470362968732919,-2.2996366227034923,8.162188841837807
15,-0.49679262793932666,-2.4666729759690798,8.11780204847588
16,-0.442065337823703,-2.6242759549981827,8.195417433613233
17,-0.465476104339765,-2.7260816940429735,8.41234598641549
18,-0.46448332568652667,-2.6062346707403834,8.432344760094818
19,-0.436663672126919,-2.3983885600251487,8.352722990592799
20,-0.3945809296064216,-2.3208782316878067,8.295541036199815
21,-0.32856104244436546,-2.295237092124644,8.188598288115113
22,-0.32022730464663307,-2.1396594365469537,8.22378600096845
23,-0.4009099802322008,-1.896484579478141,8.350480109007277
24,-0.51452113071786,-1.4621036440203905,8.43113068410905
25,-0.6297600806771209,-1.0054160419420088,8.398406915816127
26,-0.7538967392799124,-0.6133450561883844,8.278839634913895
27,-0.9355011145989743,-0.2896979069763334,8.209006205335797
28,-1.1579020613153284,-0.005618916068458108,8.303652805497133
29,-1.3379090147626713,0.2484450324276266,8.489396939839532
30,-1.3906561326522753,0.41813633071208867,8.554476264710335
31,-1.3100926851131507,0.6543170250232646,8.450196458256862
32,-1.189620425309482,0.9403552570266223,8.387670791102957
33,-1.0512266115586133,1.1775177899939677,8.304568912060233
34,-0.9682141984195818,1.2877538031556157,8.319067813881832
35,-0.9360804000093242,1.256512259099523,8.348098061187098
36,-0.8580251594200908,1.2334043922882403,8.269620058543312
37,-0.7317678871941686,1.3623785401044348,8.072470568543139
38,-0.5765191837770458,1.5025041152666962,7.864025362234004
39,-0.44324469269629363,1.408241120077799,7.75318083689546
40,-0.4031115689483866,1.0456978089327067,7.72223072107018
41,-0.4450142185930614,0.30138078529499307,7.6524731387005245
42,-0.6325082712817478,-0.8395972436543098,7.701018735373623
43,-0.9821011467340496,-2.5876396149179604,7.831411243161851
44,-1.2587187575718521,-4.012438761872917,7.870854753099096
45,-1.5585752388870293,-5.108545655143125,7.826123040993821
46,-1.8110566233286969,-5.704888266114257,7.645725820462328
47,-1.996126760854855,-6.1881554230894515,7.568719557822444
48,-2.2004548968774933,-6.741508474260728,7.678102410806815
49,-2.4444877872438426,-7.59130973820742,7.866035161720994
50,-2.6792288459399654,-8.576617085918434,7.989303902070015
51,-2.9590048393054014,-9.641782144872085,8.068708811304536
52,-3.2436235150026236,-10.440189016325004,8.107759027505002
53,-3.4945055723232175,-10.80849518103012,8.129124886537243
54,-3.7455862375657736,-10.837038958583287,8.155889068336691
55,-3.891996624984177,-10.594684121782365,8.187590827029876
56,-3.967627341819005,-10.143148345986068,8.266401445438664
